Gender,Partner,Dependents,SeniorCitizen,Tenure,MonthlyCharges,TotalCharges,Churn
Male,No,Yes,0,45,87.51,4109.923539252564,0
Female,No,No,0,18,90.81,2137.6309211105313,1
Female,No,Yes,0,28,53.46,1649.2858763964339,0
Female,Yes,No,0,15,95.67,1682.0526704400795,1
Female,Yes,Yes,0,32,63.11,2521.3326064910643,0
Male,No,No,0,34,87.7,2602.244477911914,0
Female,Yes,Yes,0,18,65.03,874.5841841802767,0
Male,No,No,0,48,74.79,3986.3826841012306,1
Female,Yes,Yes,0,24,48.23,1582.9792458808442,0
Female,No,No,0,46,48.77,1840.1663503867128,0
Female,Yes,No,0,27,34.16,192.49799955140315,0
Male,Yes,Yes,0,1,49.41,49.41,1
Female,No,No,0,56,72.95,4506.981829280225,0
Male,No,No,1,10,51.47,0.0,0
Female,No,No,0,45,64.42,2685.6852027553477,0
Male,No,Yes,0,28,89.28,2302.920433662319,1
Female,No,No,0,13,39.95,2021.5643047341778,0
Male,No,Yes,0,44,72.08,2980.8393818596346,1
Male,No,Yes,0,52,43.7,2238.738582792437,0
Female,No,No,0,44,92.42,4017.7699592252084,0
Male,No,No,1,38,95.07,4069.4132274545664,0
Female,No,Yes,0,2,69.08,616.668551575649,0
Female,No,Yes,0,9,50.6,455.12085663921107,0
Female,No,No,0,37,46.59,1617.1449569902177,0
Female,No,No,0,38,64.46,3300.5064375048696,0
Female,Yes,Yes,1,62,50.88,2579.8064825075617,0
Female,Yes,No,0,11,41.98,508.9824891734762,0
Female,Yes,No,0,25,38.8,583.1483192876685,1
Female,Yes,No,0,63,33.92,1989.3848633231464,0
Female,No,No,0,2,66.35,0.0,0
Female,No,No,0,11,89.34,757.960803357304,1
Female,No,No,0,34,59.83,2343.36147282829,0
Male,No,No,0,53,67.48,2912.354538344499,1
Male,Yes,Yes,0,36,65.36,2999.4497010724353,0
Female,No,No,0,47,54.83,2770.706722258163,0
Female,No,Yes,0,7,56.07,805.4935039791768,1
Female,Yes,Yes,0,47,93.36,4379.830018080359,1
Female,No,No,0,42,107.65,4700.3971701120345,0
Female,No,Yes,1,36,91.07,3127.4451652963985,0
Female,Yes,No,0,66,74.14,3954.4063660933125,0
Female,No,No,0,16,61.18,551.2219621983807,0
Female,No,No,0,14,102.29,1733.1768448144767,0
Male,Yes,Yes,0,53,107.24,5716.563848892943,0
Female,No,No,0,3,18.0,0.0,0
Male,Yes,Yes,0,63,57.59,3836.342161888583,0
Female,Yes,No,0,40,36.31,1959.0013511243342,0
Female,No,No,0,67,62.69,4040.553212858128,0
Male,Yes,No,0,72,43.69,3344.649067552417,0
Female,No,No,0,34,92.9,1810.4395765258662,1
Male,Yes,No,0,29,90.59,2192.2161398893177,0
Female,Yes,No,1,68,79.47,5516.4096153923665,0
Female,No,No,1,64,73.09,4175.183446359069,0
Male,Yes,No,0,18,86.43,1910.1646060724502,0
Female,Yes,No,0,47,59.76,2967.169123434646,1
Male,No,No,1,16,85.56,304.24432175585684,0
Female,No,No,0,17,75.38,568.6772552816442,0
Male,No,No,0,71,52.21,4789.694973305371,0
Male,No,No,0,1,25.37,25.37,0
Female,No,No,0,3,67.1,661.7409925970886,0
Female,No,Yes,0,19,56.62,364.89347584631764,0
Male,Yes,No,0,17,56.45,1326.2711596988931,0
Female,Yes,No,0,51,23.14,252.15439197656792,0
Female,Yes,No,1,46,50.29,1055.7747077291065,0
Female,Yes,Yes,1,48,105.53,4338.01156258064,1
Male,No,No,1,42,78.08,3025.1389051378214,0
Male,No,Yes,1,69,80.84,5199.38647497262,0
Male,No,Yes,0,65,120.0,7764.833707708534,0
Male,Yes,No,0,21,78.64,1491.8933917414595,1
Male,Yes,No,1,69,75.59,5970.756382758003,0
Male,Yes,Yes,1,72,46.37,2797.7287375334886,0
Male,No,Yes,0,54,120.0,7740.786656784861,0
Male,Yes,No,0,27,50.61,2104.369444253871,1
Male,No,No,0,52,67.78,3199.919206166778,0
Female,Yes,Yes,0,62,36.13,3268.9269584157364,0
Male,No,Yes,0,4,39.46,951.4555884824362,0
Female,No,Yes,0,11,76.28,1022.3955493516404,0
Female,No,No,1,25,75.8,2187.4433002794226,0
Female,Yes,No,0,60,120.0,6944.716429821993,0
Male,Yes,No,0,49,48.95,2438.4695026170252,1
Male,Yes,No,1,66,66.69,3858.7535000002154,0
Male,No,No,0,18,43.02,499.58775276880385,1
Male,Yes,No,0,26,42.35,1711.6603426204915,1
Female,Yes,No,0,54,68.6,4287.966002509187,0
Male,No,No,1,19,51.57,706.2835059030679,1
Male,No,Yes,0,43,67.73,2288.432945038813,1
Male,No,Yes,0,52,75.1,4024.1405073710957,1
Male,No,Yes,0,4,68.56,350.68047240362824,1
Male,No,No,0,32,85.15,2291.577818737312,0
Female,No,No,0,35,78.44,3016.1690612455623,0
Male,No,No,0,13,43.61,0.0,0
Female,Yes,No,0,27,46.45,1927.511928977235,1
Male,No,No,0,42,38.54,1583.4748492351075,0
Female,No,No,0,31,56.62,1918.3679705061536,1
Male,Yes,No,0,3,78.96,273.79738722150853,0
Male,No,No,0,47,18.0,916.5151410960547,0
Female,Yes,No,0,56,43.36,2410.9947943693924,0
Female,Yes,No,0,24,18.0,618.3509790463586,0
Female,No,No,0,27,73.07,2499.401536465249,0
Male,No,No,0,22,72.5,1634.3782092242834,0
Female,No,Yes,0,67,84.96,6088.333363880405,0
Male,Yes,No,0,18,77.87,1455.6626705995213,0
Male,No,No,0,3,39.94,0.0,0
Female,Yes,No,0,28,36.17,1065.837045123095,0
Female,Yes,Yes,1,51,65.37,4099.922525984893,0
Male,Yes,Yes,0,19,77.15,1895.9575663170317,0
Male,Yes,No,0,45,83.94,3849.771346770197,0
Female,Yes,Yes,0,4,44.49,0.0,0
Female,No,No,0,8,55.54,693.7011293239424,0
Female,No,No,0,15,49.35,1140.6036888481276,1
Male,No,No,0,10,49.27,2.4228516572899252,0
Male,No,No,1,51,65.21,3452.528501359027,0
Male,Yes,No,0,13,97.0,1348.6609205122918,0
Male,No,No,0,31,82.42,3361.025324226909,0
Male,No,No,0,2,81.69,189.15159901436317,0
Male,Yes,No,0,43,96.93,3589.93343505892,0
Female,No,No,0,50,18.0,1490.4593141306036,0
Male,No,No,0,60,62.08,3491.994468071285,0
Male,Yes,No,0,65,70.8,5140.833225931783,0
Male,No,No,0,29,59.85,2092.2869841005704,0
Female,No,No,0,35,80.15,2165.727080119622,0
Male,No,No,1,14,41.66,214.31230892088854,0
Male,Yes,Yes,0,14,73.05,461.60994541144987,0
Female,No,Yes,1,56,47.96,2228.9593398421953,0
Male,No,No,1,67,73.09,4476.566582642275,0
Male,No,No,0,16,107.1,1603.9311125906813,0
Male,Yes,No,0,38,80.02,2874.3068950920656,0
Male,Yes,No,1,3,41.22,505.8014072819351,0
Male,No,Yes,1,64,93.7,6728.364582472111,0
Female,Yes,No,0,60,74.38,4534.888756370807,1
Female,Yes,No,0,70,30.97,2116.3797311395706,0
Female,Yes,Yes,1,62,18.0,651.7207487614838,0
Male,No,No,0,50,67.9,2557.639452830718,0
Male,No,No,0,53,76.97,4541.819237291927,0
Male,No,No,1,35,31.7,659.7684186603746,0
Female,Yes,Yes,1,13,84.76,929.2387275701946,0
Male,No,No,1,26,94.9,2568.121123507766,0
Male,Yes,No,0,3,20.0,243.0169629392833,0
Female,No,Yes,0,48,83.86,4929.609658470614,0
Male,Yes,No,0,61,30.41,1811.949317649573,0
Female,Yes,No,1,43,68.54,2541.5205002122066,0
Female,Yes,Yes,0,46,56.11,3047.7933818336674,0
Female,No,No,0,18,93.41,1343.7085123149566,0
Male,No,No,0,66,36.52,2414.2446242038764,0
Male,Yes,No,0,37,72.44,2961.3552487770758,1
Male,Yes,No,0,25,117.12,2634.5379420947775,0
Male,Yes,No,0,32,51.8,757.3478073299183,0
Male,No,Yes,0,28,96.2,3486.6481820645517,0
Male,Yes,Yes,0,7,84.73,656.2675981324251,0
Male,Yes,No,0,3,21.0,434.2479058891487,1
Female,No,Yes,0,51,21.85,145.58440429456323,0
Male,No,No,1,10,57.3,417.8907671282197,0
Female,Yes,No,0,40,52.09,1814.4936202797169,1
Male,No,No,0,30,81.67,1611.771482161586,0
Male,No,Yes,0,14,72.42,1126.788756535117,0
Male,No,No,0,6,45.96,912.5433609653903,0
Female,Yes,No,0,34,76.19,1979.2488964918948,1
Female,No,No,0,66,73.28,4877.642383108272,0
Female,No,Yes,0,70,85.56,6512.234830206586,0
Female,No,No,0,52,74.48,3720.5330608941385,0
Male,Yes,No,0,9,120.0,1168.1511455376997,0
Female,No,Yes,0,61,84.84,5204.995652484295,0
Male,No,No,0,66,84.7,6434.7129454681235,0
Male,No,No,0,55,96.9,4815.3945007979455,1
Female,No,No,0,41,120.0,4814.345348033436,0
Female,Yes,No,1,45,110.8,5571.735242727228,0
Female,Yes,Yes,0,21,18.0,525.0415172077137,0
Female,Yes,No,0,33,82.46,3080.8905732229696,0
Female,No,Yes,0,30,113.88,3970.0810836969426,0
Female,No,Yes,0,21,48.35,0.0,0
Female,No,No,0,12,77.15,788.696533958951,0
Female,No,Yes,0,33,97.45,3831.077434515603,0
Male,Yes,No,0,29,96.26,2355.5603683199474,0
Female,Yes,No,0,61,64.03,3698.0086242849384,0
Female,No,No,0,66,92.88,7030.684128897349,0
Male,No,No,0,10,81.31,1348.7624322156757,0
Female,Yes,No,0,30,97.12,1497.8259493554683,0
Male,Yes,No,0,51,61.55,1736.3393696228177,0
Male,Yes,No,0,9,66.2,510.7278243950808,0
Female,Yes,Yes,0,21,87.92,2219.2918391571284,0
Male,Yes,No,1,63,32.81,2706.3471309884017,0
Male,No,No,0,22,116.84,3336.252510088585,1
Male,Yes,Yes,0,9,21.85,9.588716450788269,0
Male,Yes,No,0,22,60.5,1588.7585193369152,0
Female,No,Yes,0,9,120.0,1130.0005297806765,1
Male,No,No,1,7,85.32,1199.153813926976,1
Female,Yes,No,0,56,102.83,4641.739411185563,0
Male,No,No,0,26,116.39,2538.9174495704165,1
Male,Yes,No,0,45,91.43,4352.870022773617,0
Male,No,Yes,0,50,60.64,2485.487317701181,0
Male,No,Yes,0,24,49.05,869.1766611833996,0
Female,No,Yes,0,43,91.62,4757.456650259805,1
Female,Yes,No,0,34,86.19,3091.8435827629737,1
Male,No,Yes,0,65,75.6,5045.013450434765,0
Male,No,No,0,34,86.07,3770.2299216855445,0
Female,Yes,Yes,0,45,81.3,4171.800945815583,0
Male,Yes,No,1,9,104.09,1243.0042810216396,0
Male,No,No,0,12,18.13,125.32157329526548,1
Male,No,No,0,67,48.21,3571.4705060525453,0
Female,Yes,No,0,70,52.79,4957.905927618357,0
Female,No,No,0,6,72.78,37.19642032049029,1
Female,Yes,No,0,66,118.81,7458.109896039621,0
Male,Yes,No,0,31,21.77,426.63503989117095,0
Male,No,No,0,5,73.81,298.2394013805679,0
Female,Yes,No,0,68,73.88,3858.6330105258457,0
Female,Yes,No,0,7,46.98,481.49596554485106,0
Female,Yes,No,0,17,120.0,1918.6175786725482,0
Female,No,Yes,1,63,97.33,7013.353144896256,0
Male,Yes,Yes,0,49,86.5,4495.5954143020945,0
Female,No,No,0,50,63.54,1650.2198647646878,0
Male,Yes,No,0,63,96.1,5194.842369681987,0
Female,No,No,1,6,66.77,793.9295689191305,0
Male,Yes,No,0,48,74.71,3201.2560013293523,0
Female,No,No,0,64,60.17,3545.652668936494,0
Female,No,Yes,0,5,19.0,363.4737298966474,0
Female,Yes,No,1,67,18.0,920.4541954171675,0
Female,Yes,No,0,64,75.49,4837.200803995472,0
Male,Yes,No,1,26,106.52,2643.4821859371245,1
Female,Yes,No,0,23,27.94,1338.817036578408,1
Male,Yes,No,0,24,43.18,368.9404561126737,1
Male,No,Yes,0,5,57.75,134.49661980706406,1
Male,No,No,0,54,69.84,3561.652045108337,0
Male,Yes,Yes,0,1,59.45,59.45,0
Female,Yes,No,0,44,35.52,611.1654328899955,0
Male,Yes,Yes,0,50,63.65,3604.617370055397,0
Male,Yes,No,0,43,80.43,3652.504417309944,0
Male,No,No,1,30,82.1,2066.647935233666,0
Female,No,No,0,57,71.34,3480.292212823035,0
Female,Yes,No,0,48,46.86,2401.003098741701,0
Female,Yes,No,0,51,21.99,2157.8873276181666,1
Female,No,No,0,38,60.15,2571.780668674127,0
Male,Yes,No,0,34,108.7,2318.6621022491327,0
Male,Yes,No,0,17,59.94,1404.1130625118042,0
Female,No,No,0,68,72.18,4780.466334815114,0
Male,No,No,0,23,46.55,1411.7277602465401,0
Male,Yes,Yes,0,45,83.7,4032.855740057618,0
Male,No,Yes,0,16,35.38,87.59195429257659,1
Female,Yes,No,0,53,70.11,4206.33065652493,0
Female,No,No,0,71,64.48,4885.686766735098,1
Male,Yes,Yes,0,52,102.54,5030.697722736243,0
Female,No,No,0,9,69.92,1120.5408706444891,1
Female,No,Yes,0,59,70.48,4165.518780348184,1
Female,Yes,No,0,56,72.89,3605.6623071241283,0
Female,No,No,0,8,93.76,1411.657318974585,0
Female,No,No,0,37,59.81,2261.2902967819837,0
Male,Yes,No,0,36,72.42,2098.7671495879536,1
Female,No,Yes,0,48,108.27,5149.734637482863,0
Male,No,No,0,44,72.11,3537.857283498257,1
Male,No,No,0,9,34.03,0.0,1
Female,Yes,Yes,0,65,68.66,4351.062015996063,1
Male,Yes,No,0,30,80.45,2745.6095796822333,0
Male,Yes,Yes,0,49,76.33,5353.577308431655,0
Male,Yes,No,0,7,20.04,365.4228458754224,0
Female,No,No,0,57,97.68,5452.8080223152365,0
Female,Yes,No,0,53,70.52,2832.7137228568254,0
Male,Yes,No,0,17,120.0,2157.5939645104254,0
Female,Yes,Yes,0,22,74.49,765.3081280590397,1
Female,Yes,No,0,42,101.43,3666.5774754234944,0
Female,No,No,0,72,82.09,5262.475108613577,0
Female,No,No,0,27,63.35,2096.1288959960557,0
Male,Yes,No,0,50,111.86,6632.599907619479,0
Male,Yes,No,1,22,98.12,2355.7350602068377,0
Female,Yes,No,0,18,103.39,1816.00515214418,0
Female,Yes,No,0,23,45.22,1545.0845404471286,0
Male,Yes,Yes,0,10,65.71,928.6337978045954,0
Male,No,Yes,0,32,47.21,1326.600592571749,0
Female,Yes,No,1,41,54.76,1923.9907617269723,0
Male,No,No,0,57,18.0,1242.4611861145163,0
Female,No,No,0,72,50.04,3735.7124623984478,0
Female,Yes,Yes,0,47,69.8,3962.5686191588743,0
Male,No,No,0,5,72.48,0.0,0
Male,No,Yes,0,11,93.11,589.4838435690846,0
Female,No,Yes,0,24,23.59,0.0,1
Female,No,Yes,0,4,32.73,979.6185564773972,0
Male,Yes,No,0,2,51.2,1079.2234463937564,1
Female,No,Yes,0,50,63.92,3635.6835674107397,0
Male,Yes,Yes,0,21,40.87,0.0,0
Female,No,No,0,68,73.7,4579.47232342421,0
Male,Yes,No,0,63,53.08,3178.9809145081695,0
Male,Yes,No,0,10,83.51,658.6184604827301,0
Male,No,No,0,18,79.03,515.7265840949956,0
Female,Yes,Yes,0,11,52.71,735.0708941552203,1
Female,Yes,No,0,71,86.48,6326.818560228193,0
Male,Yes,Yes,0,39,120.0,4456.97739009312,0
Female,No,Yes,0,10,59.82,929.2428432214471,0
Male,No,No,0,72,67.73,5792.997144545971,0
Male,No,No,0,31,53.77,1496.791355869117,0
Female,No,No,0,29,76.34,1840.11541708654,0
Female,No,Yes,0,19,68.62,1715.5441309764967,0
Male,Yes,No,0,4,34.54,299.6014820048533,0
Female,Yes,No,0,51,65.42,2439.2268445331893,1
Female,No,Yes,0,7,90.41,761.2002810332621,1
Male,Yes,No,0,60,78.87,4244.354079485029,1
Male,Yes,Yes,0,15,102.62,1796.6026504964016,0
Female,Yes,No,1,42,63.0,2337.8975700882283,0
Male,No,No,0,9,82.96,1156.391531583125,0
Male,Yes,No,0,32,68.39,2478.911620846614,0
Female,No,No,0,62,35.72,2046.6709736913372,1
Male,No,Yes,0,2,104.01,682.9079077895633,0
Male,No,No,0,30,76.78,3003.145919962611,1
Female,No,Yes,0,60,79.39,3778.580068498031,0
Female,Yes,No,0,11,77.17,1045.6271118556408,0
Male,No,Yes,1,34,44.55,1480.2820547697895,0
Male,No,No,0,19,54.28,796.2910935284757,1
Female,No,No,0,28,68.67,1933.4826186105647,0
Female,No,No,1,27,49.91,2104.8729101087574,0
Female,Yes,No,1,70,48.36,3374.2063453461205,0
Female,No,Yes,1,22,46.83,865.4594960621341,0
Male,Yes,Yes,0,10,78.44,1611.0335597803146,1
Female,No,No,0,19,100.69,1623.7987237782093,0
Female,No,Yes,0,21,85.23,1641.9079965667574,0
Male,No,Yes,0,44,87.3,4227.938410973734,0
Female,No,Yes,0,8,89.69,241.2287641000829,0
Male,Yes,Yes,0,14,63.36,904.7433166142007,0
Female,Yes,No,0,21,31.56,0.0,0
Female,No,Yes,0,57,38.96,2748.174417903428,1
Female,Yes,No,0,12,98.23,1211.8752517064981,0
Male,Yes,Yes,1,46,27.23,1602.5671519551242,0
Male,No,No,0,61,33.53,1937.2676006420195,0
Female,Yes,Yes,0,62,49.28,2228.645186020667,0
Male,No,No,0,16,110.09,1861.3201934726394,0
Male,No,Yes,1,59,81.86,4181.655236772781,0
Male,No,Yes,0,41,68.72,2947.5665229982233,1
Male,No,Yes,1,46,35.94,1095.7445758387225,0
Male,Yes,No,0,42,49.16,1767.6015876763272,0
Male,Yes,No,0,5,74.15,0.0,0
Female,Yes,No,0,10,59.89,383.21671864061005,0
Female,No,No,0,59,100.46,5801.772647989998,1
Male,Yes,Yes,0,42,48.61,1928.5200248710373,0
Female,Yes,Yes,0,54,86.21,4019.732311292182,0
Female,No,No,1,60,69.9,4320.374807141852,0
Female,Yes,Yes,0,3,24.82,0.0,0
Female,No,Yes,1,20,120.0,2366.248516523681,0
Male,No,No,0,44,33.66,833.7163127071611,0
Female,No,No,1,37,67.28,2359.9643444390254,1
Female,No,Yes,1,21,85.16,1211.3025570804248,0
Male,Yes,No,0,41,61.0,1744.2860512885609,1
Male,No,No,0,8,29.11,78.11069627580727,0
Female,No,No,0,69,69.3,4465.852615599331,0
Female,Yes,No,1,44,119.25,5189.183161203392,0
Female,Yes,No,0,52,40.69,742.2756286979566,0
Female,No,No,0,12,109.84,671.1689807955311,0
Female,Yes,No,0,53,76.63,3937.1732463938934,0
Female,No,No,0,44,80.88,3827.99935184596,1
Male,Yes,No,0,70,92.91,6381.335087281877,0
Female,Yes,No,1,41,73.06,3236.585470298442,0
Female,No,No,0,27,72.93,2329.34408080193,0
Male,Yes,Yes,0,18,90.04,1899.2783114603985,0
Male,No,No,0,34,18.5,1094.4357851003588,0
Male,Yes,Yes,0,42,58.77,2188.063998776838,0
Male,Yes,No,0,70,58.47,4949.106066948877,0
Female,No,No,0,31,73.44,2503.6756791591456,1
Female,No,No,0,55,75.97,4131.511988416098,1
Female,No,No,1,55,102.15,5302.422333274636,0
Female,No,No,0,20,68.38,1306.735098755007,1
Female,No,No,0,23,18.0,327.8283340800751,0
Female,No,No,0,61,103.54,6302.895071295872,0
Male,Yes,Yes,0,22,67.13,1312.8868076659883,0
Female,No,No,0,68,74.32,5390.615005585236,0
Male,Yes,No,1,61,111.27,6599.860802183021,1
Male,Yes,No,1,43,98.89,4579.652108681955,0
Female,Yes,No,0,9,100.26,926.3198439405063,0
Male,Yes,Yes,0,23,84.56,2153.482117101727,0
Female,No,No,0,43,61.46,3317.5961832505877,1
Male,Yes,Yes,0,1,101.14,101.14,0
Female,Yes,No,0,53,84.59,4060.2066510810796,0
Male,Yes,No,0,55,82.33,4768.627199033916,0
Female,Yes,No,0,49,45.65,2258.0436389876513,0
Female,No,No,0,40,75.76,3478.9638194055165,0
Female,Yes,No,0,49,80.35,4125.841222646926,1
Female,Yes,Yes,0,63,120.0,7621.301322887773,0
Female,Yes,No,0,54,100.45,5205.145367673164,0
Male,Yes,No,0,55,64.97,2940.506636790497,0
Male,No,No,0,52,53.5,3231.489126886972,0
Male,Yes,Yes,0,1,54.1,54.1,0
Female,Yes,No,0,1,75.18,75.18,0
Male,Yes,No,0,10,66.6,1371.3278750107759,0
Female,Yes,Yes,1,1,85.2,85.2,1
Female,No,No,0,5,41.3,501.30347930807295,0
Male,Yes,No,0,41,93.01,3779.6634532003072,0
Male,No,No,0,52,75.79,3835.60006618443,0
Female,No,Yes,1,25,78.61,2293.937948806464,1
Male,Yes,No,0,11,97.52,815.9822452356632,1
Female,No,Yes,0,67,92.66,5673.924069651235,1
Female,No,Yes,1,5,88.71,866.155995862872,1
Female,No,No,1,66,43.25,2505.709755171753,0
Female,Yes,Yes,0,30,81.19,2127.3622501751443,0
Female,No,No,0,11,51.28,1208.1135444229258,0
Male,Yes,No,0,40,103.84,3775.9133746419047,0
Male,Yes,No,0,10,61.42,685.6033333582354,0
Female,No,Yes,0,63,70.8,4586.272619613573,0
Female,No,No,1,30,74.45,2648.7102888145446,1
Male,Yes,Yes,1,36,101.15,3362.6345606875734,0
Male,No,No,1,11,95.65,309.5301191756412,0
Female,No,No,1,65,51.5,3025.895595224103,0
Male,Yes,No,0,55,120.0,6022.388494174492,0
Female,Yes,No,0,26,61.2,1644.472518332888,0
Male,Yes,Yes,0,16,81.33,437.727247218549,0
Female,No,Yes,0,20,65.75,1259.1484469581906,0
Male,No,Yes,1,13,58.33,615.4349050828706,0
Female,Yes,No,0,53,92.59,5524.169306028437,1
Male,No,Yes,0,16,69.94,866.6690015126401,0
Male,No,No,1,67,72.12,5030.723691961161,1
Female,No,Yes,0,70,87.03,6295.624345187547,1
Male,Yes,No,1,72,63.46,4320.338371281835,0
Female,No,No,1,55,92.45,5225.716735308595,0
Male,No,No,0,61,95.87,6261.073065161582,0
Female,Yes,No,0,71,18.52,2102.8873706111654,0
Male,Yes,No,0,13,65.47,939.699952008082,0
Female,No,No,1,56,55.49,3666.9906402945985,1
Male,Yes,No,1,52,118.54,6258.052155207129,1
Female,No,No,1,32,77.82,2376.2374263126685,0
Male,Yes,No,1,69,61.05,4487.739796444971,0
Female,Yes,No,0,22,78.66,1297.6385365306041,0
Female,Yes,No,1,53,94.67,5085.380407702095,1
Female,Yes,Yes,0,61,43.98,3391.3426313131845,0
Male,Yes,No,0,10,75.26,237.79323780174127,0
Female,No,No,0,10,57.74,717.4283929608503,0
Male,Yes,Yes,0,39,111.88,4286.403128075029,0
Female,No,Yes,0,15,67.06,1399.708246836727,0
Male,No,Yes,0,63,37.25,1987.543208455325,0
Female,Yes,No,0,37,71.73,2806.857712692578,0
Male,Yes,Yes,1,15,97.07,941.9788311476743,0
Male,No,No,0,4,35.31,0.0,0
Female,Yes,Yes,0,63,67.54,4169.9063511788245,1
Male,Yes,No,1,7,42.18,0.0,1
Male,No,No,0,52,117.32,6152.191572644945,0
Female,Yes,No,0,31,98.9,3137.8867311325344,0
Male,Yes,No,0,63,100.42,6380.525977907092,0
Male,No,No,1,9,82.08,1039.6252462530929,1
Male,No,No,0,48,67.47,3806.275331448933,0
Female,Yes,No,0,2,120.0,1389.1458411320152,1
Male,No,No,0,21,76.09,823.9232327562495,0
Female,No,Yes,0,66,69.03,4517.785780243223,0
Male,No,Yes,1,41,85.45,3909.383646206105,1
Male,Yes,No,1,16,30.24,181.89549300553665,0
Male,No,Yes,0,44,37.68,1951.080347574811,0
Female,Yes,No,0,51,99.13,5312.702213750339,0
Male,No,No,1,31,53.7,1280.7148884152439,0
Male,Yes,Yes,0,13,57.87,551.6426805437197,0
Female,No,No,0,14,77.65,1193.1513618998658,1
Male,Yes,Yes,1,30,56.22,1282.4266842686066,1
Female,Yes,Yes,0,36,79.92,1839.122782664293,1
Female,No,No,0,23,53.95,2453.58879244632,0
Male,Yes,Yes,0,10,82.72,1449.4629514978697,0
Female,Yes,No,0,46,85.96,2454.232897796046,0
Male,No,No,0,40,70.08,3107.562322881683,0
Female,No,Yes,0,18,90.18,1707.2400578252298,0
Female,Yes,Yes,0,38,36.97,1823.1345500066864,0
Male,Yes,No,0,52,32.89,1663.1588777146223,0
Female,No,No,1,68,50.86,3740.3697968719566,1
Female,No,No,0,16,18.0,642.2044831115741,0
Female,Yes,No,0,63,76.02,4436.1028138191805,0
Female,No,Yes,0,1,91.31,91.31,0
